ID,부위,운동명,장비,분류,주동근,협동근,권장 렙범위,휴식초,무게 단위,난이도,신뢰도
P172,가슴,인클라인 클로즈 그립 벤치 프레스,바벨,컴파운드,상부 대흉근,전면 삼각근/삼두근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,중급,높음
P173,가슴,클로즈 그립 덤벨 벤치 프레스,덤벨,컴파운드,대흉근,전면 삼각근/삼두근,5~8 (근력) / 6~12 (비대),120~180,1~2.5kg,중급,높음
P174,가슴,중량 푸쉬업,맨몸,컴파운드,대흉근,전면 삼각근/삼두근,5~8 (근력) / 6~12 (비대),120~180,맨몸/체중조끼,초보,높음
P175,가슴,인클라인 클로즈 그립 덤벨 벤치 프레스,덤벨,컴파운드,상부 대흉근,전면 삼각근/삼두근,5~8 (근력) / 6~12 (비대),120~180,1~2.5kg,중급,높음
P176,가슴,디클라인 덤벨 플라이,덤벨,아이솔레이션,하부 대흉근,,8~15,60~120,1~2.5kg,초보,높음
P177,가슴,스탠딩 케이블 플라이,케이블,아이솔레이션,대흉근,,8~15,60~120,2.5kg,초보,높음
P178,가슴,원암 케이블 체스트 프레스,케이블,컴파운드,대흉근,전면 삼각근/삼두근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,초보,높음
P179,가슴,인클라인 플라이 머신,머신,아이솔레이션,상부 대흉근,,8~15,60~120,5kg,초보,높음
P180,등,데드리프트(컨벤셔널),바벨,컴파운드,척추기립근/광배근,햄스트링/대둔근/전완근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,중급,높음
P181,등,루마니안 데드리프트,바벨,컴파운드,척추기립근/광배근,햄스트링/대둔근/전완근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,중급,높음
P182,등,바벨 로우,바벨,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,중급,높음
P183,등,풀 업,맨몸,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,맨몸/체중조끼,중급,높음
P184,등,랫 풀다운,머신,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,5kg,초보,높음
P185,등,백 익스텐션,머신,아이솔레이션,척추기립근,,8~15,60~120,5kg,초보,높음
P186,등,원 암 덤벨 로우,덤벨,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,1~2.5kg,중급,높음
P187,등,시티드 케이블 로우,케이블,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,초보,높음
P188,등,시티드 로우 머신,머신,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,5kg,초보,높음
P189,등,덤벨 데드리프트,덤벨,컴파운드,척추기립근/광배근,햄스트링/대둔근/전완근,5~8 (근력) / 6~12 (비대),120~180,1~2.5kg,중급,높음
P190,등,밴드 벤트 오버 로우,밴드,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,저항 단계,초보,높음
P191,등,레니세이드 로우,바벨,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,중급,높음
P192,등,인클라인 로우,바벨,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,중급,높음
P193,등,인버티드 로우,바벨,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,중급,높음
P194,등,티 바 로우,바벨,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,중급,높음
P195,등,백 랫 풀다운,머신,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,5kg,초보,높음
P196,등,로우 로우 머신,머신,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,5kg,초보,높음
P197,등,스미스 머신 바벨 로우,스미스 머신,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,초보,높음
P198,등,암 풀 다운,케이블,아이솔레이션,광배근,,8~15,60~120,2.5kg,초보,높음
P199,등,밴드 로우,밴드,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,저항 단계,초보,높음
P200,등,덤벨 로우,덤벨,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,1~2.5kg,중급,높음
P201,등,펜들레이 로우,바벨,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,중급,높음
P202,등,원 암 랫 풀다운,머신,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,5kg,초보,높음
P203,등,랙 풀,바벨,컴파운드,광배근,이두근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,중급,높음
P204,등,백 익스텐션 머신,머신,아이솔레이션,척추기립근,,8~15,60~120,5kg,초보,높음
P205,등,굿모닝,바벨,컴파운드,척추기립근,이두근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,중급,높음
P206,등,밴드 데드리프트,밴드,컴파운드,척추기립근/광배근,햄스트링/대둔근/전완근,5~8 (근력) / 6~12 (비대),120~180,저항 단계,초보,높음
P207,등,하이 로우 머신,머신,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,5kg,초보,높음
P208,등,와이드 풀다운 머신,머신,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,5kg,초보,높음
P209,등,케틀벨 로우,케틀벨,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,4kg,중급,높음
P210,등,원 암 케이블 랫 풀다운,케이블,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,초보,높음
P211,등,원 암 시티드 로우 머신,머신,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,5kg,초보,높음
P212,등,랫 풀다운 머신,머신,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,5kg,초보,높음
P213,등,라잉 백 익스텐션,머신,아이솔레이션,척추기립근,,8~15,60~120,5kg,초보,높음
P214,등,클로즈 그립 티 바 로우,바벨,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,중급,높음
P215,등,케틀벨 데드리프트,케틀벨,컴파운드,척추기립근/광배근,햄스트링/대둔근/전완근,5~8 (근력) / 6~12 (비대),120~180,4kg,중급,높음
P216,등,언더핸드 바벨 로우,바벨,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,중급,높음
P217,등,언더핸드 스미스 머신 바벨 로우,스미스 머신,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,초보,높음
P218,등,원 암 시티드 케이블 로우,케이블,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,초보,높음
P219,등,패러럴 그립 시티드 케이블 로우,케이블,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,초보,높음
P220,등,와이드 그립 시티드 케이블 로우,케이블,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,초보,높음
P221,등,원 암 케틀벨 로우,케틀벨,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,4kg,중급,높음
P222,등,스탠딩 케이블 로우,케이블,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,초보,높음
P223,등,어시스트 풀 업,맨몸,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,맨몸/체중조끼,중급,높음
P224,등,패러럴 그립 어시스트 풀 업,맨몸,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,맨몸/체중조끼,중급,높음
P225,등,중량 풀 업,맨몸,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,맨몸/체중조끼,중급,높음
P226,등,아처 풀 업,맨몸,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,맨몸/체중조끼,중급,높음
P227,등,밴드 어시스트 풀 업,밴드,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,저항 단계,초보,높음
P228,등,어시스트 친 업,맨몸,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,맨몸/체중조끼,중급,높음
P229,등,중량 친 업,맨몸,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,맨몸/체중조끼,중급,높음
P230,등,밴드 어시스트 친 업,밴드,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,저항 단계,초보,높음
P231,등,패러럴 그립 친 업,맨몸,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,맨몸/체중조끼,중급,높음
P232,등,클로즈 그립 친 업,맨몸,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,맨몸/체중조끼,중급,높음
P233,등,클로즈 그립 케이블 랫 풀다운,케이블,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,초보,높음
P234,등,패러럴 그립 랫 풀다운,머신,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,5kg,초보,높음
P235,등,언더핸드 케이블 랫 풀다운,케이블,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,초보,높음
P236,등,암 풀다운(로프),머신,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,5kg,초보,높음
P237,등,클로즈 그립 풀 업,맨몸,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,맨몸/체중조끼,중급,높음
P238,등,와이드 그립 풀 업,맨몸,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,맨몸/체중조끼,중급,높음
P239,등,케이블 하이 로우,케이블,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,초보,높음
P240,등,원 암 케이블 하이 로우,케이블,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,초보,높음
P241,등,원 암 풀 업,맨몸,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,맨몸/체중조끼,고급,높음
P242,등,원 암 와이드 풀다운 머신,머신,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,5kg,초보,높음
P243,등,클로즈 그립 랫 풀다운,머신,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,5kg,초보,높음
P244,등,케이블 데드리프트,케이블,컴파운드,척추기립근/광배근,햄스트링/대둔근/전완근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,초보,높음
P245,등,플레이트 백 익스텐션,플레이트,아이솔레이션,척추기립근,,8~15,60~120,2.5kg,초보,높음
P246,등,덤벨 백 익스텐션,덤벨,아이솔레이션,척추기립근,,8~15,60~120,1~2.5kg,초보,높음
P247,등,바벨 백 익스텐션,바벨,아이솔레이션,척추기립근,,8~15,60~120,2.5kg,초보,높음
P248,등,케이블 슈러그,케이블,아이솔레이션,승모근 상부,,8~15,60~120,2.5kg,초보,높음
P249,등,패러럴 그립 와이드 풀다운 리어머신,머신,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,5kg,초보,높음
P250,등,덤벨 실로우,덤벨,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,1~2.5kg,중급,높음
P251,등,바벨 실로우,바벨,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,중급,높음
P252,등,맥그립 랫 풀다운,머신,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,5kg,초보,높음
P253,등,원 암 하이 로우 머신,머신,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,5kg,초보,높음
P254,등,원 암 로우 로우 머신,머신,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,5kg,초보,높음
P255,등,풀오버 머신,머신,아이솔레이션,광배근,,8~15,60~120,5kg,초보,높음
P256,등,리니어 로우 머신(바벨 로우 머신),머신,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,5kg,초보,높음
P257,등,밴트 오버 로우 머신,머신,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,5kg,초보,높음
P258,등,리버스 펙덱 플라이,머신,아이솔레이션,광배근,,8~15,60~120,5kg,초보,높음
P259,등,벤트오버 와이드 덤벨 로우,덤벨,컴파운드,광배근/승모근 중하부,이두근/후면 삼각근/척추기립근,5~8 (근력) / 6~12 (비대),120~180,1~2.5kg,중급,높음
P260,등,클로즈 맥그립 랫 풀다운,머신,컴파운드,광배근,이두근/후면 삼각근,5~8 (근력) / 6~12 (비대),120~180,5kg,초보,높음
P261,어깨,오버헤드 프레스,바벨,컴파운드,삼각근(전체),삼두근/상부 대흉근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,중급,높음
P262,어깨,덤벨 숄더 프레스,덤벨,컴파운드,삼각근(전체),삼두근/상부 대흉근,5~8 (근력) / 6~12 (비대),120~180,1~2.5kg,중급,높음
P263,어깨,덤벨 레터럴 레이즈(사이드 레터럴 레이즈),덤벨,아이솔레이션,측면 삼각근,,8~15,60~120,1~2.5kg,초보,높음
P264,어깨,숄더 프레스 머신,머신,컴파운드,삼각근(전체),삼두근/상부 대흉근,5~8 (근력) / 6~12 (비대),120~180,5kg,초보,높음
P265,어깨,레터럴 레이즈 머신,머신,아이솔레이션,측면 삼각근,,8~15,60~120,5kg,초보,높음
P266,어깨,시티드 오버헤드 프레스,바벨,컴파운드,삼각근(전체),삼두근/상부 대흉근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,중급,높음
P267,어깨,덤벨 프론트 레이즈,덤벨,아이솔레이션,전면 삼각근,,8~15,60~120,1~2.5kg,초보,높음
P268,어깨,바벨 프론트 레이즈,바벨,아이솔레이션,전면 삼각근,,8~15,60~120,2.5kg,초보,높음
P269,어깨,페이스 풀,케이블,아이솔레이션,후면 삼각근,,8~15,60~120,2.5kg,초보,높음
P270,어깨,리버스 케이블 플라이,케이블,아이솔레이션,후면 삼각근,,8~15,60~120,2.5kg,초보,높음
P271,어깨,바벨 슈러그,바벨,아이솔레이션,승모근 상부,,8~15,60~120,2.5kg,초보,높음
P272,어깨,펙 덱 리어 델트,덤벨,아이솔레이션,후면 삼각근,,8~15,60~120,1~2.5kg,초보,높음
P273,어깨,아놀드 프레스,덤벨,컴파운드,삼각근(전체),삼두근/상부 대흉근,5~8 (근력) / 6~12 (비대),120~180,1~2.5kg,중급,높음
P274,어깨,밴드 오버 레터럴 레이즈,밴드,아이솔레이션,측면 삼각근,,8~15,60~120,저항 단계,초보,높음
P275,어깨,스미스 머신 오버헤드 프레스,스미스 머신,컴파운드,삼각근(전체),삼두근/상부 대흉근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,초보,높음
P276,어깨,밴드 프론트 레이즈,밴드,아이솔레이션,전면 삼각근,,8~15,60~120,저항 단계,초보,높음
P277,어깨,플레이트 프론트 레이즈,플레이트,아이솔레이션,전면 삼각근,,8~15,60~120,2.5kg,초보,높음
P278,어깨,케이블 프론트 레이즈,케이블,아이솔레이션,전면 삼각근,,8~15,60~120,2.5kg,초보,높음
P279,어깨,밴드 레터럴 레이즈,밴드,아이솔레이션,측면 삼각근,,8~15,60~120,저항 단계,초보,높음
P280,어깨,케이블 레터럴 레이즈,케이블,아이솔레이션,측면 삼각근,,8~15,60~120,2.5kg,초보,높음
P281,어깨,케이블 숄더 프레스,케이블,컴파운드,삼각근(전체),삼두근/상부 대흉근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,초보,높음
P282,어깨,덤벨 슈러그,덤벨,아이솔레이션,승모근 상부,,8~15,60~120,1~2.5kg,초보,높음
P283,어깨,바벨 업라이트 로우,바벨,컴파운드,측면 삼각근/승모근,,5~8 (근력) / 6~12 (비대),120~180,2.5kg,중급,높음
P284,어깨,덤벨 업라이트 로우,덤벨,컴파운드,측면 삼각근/승모근,,5~8 (근력) / 6~12 (비대),120~180,1~2.5kg,중급,높음
P285,어깨,스미스 머신 슈러그,스미스 머신,아이솔레이션,승모근 상부,,8~15,60~120,2.5kg,초보,높음
P286,어깨,비하인드 넥 프레스,바벨,컴파운드,삼각근(전체),삼두근/상부 대흉근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,중급,높음
P287,어깨,스미스 머신 비하인드 넥 프레스,스미스 머신,컴파운드,삼각근(전체),삼두근/상부 대흉근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,초보,높음
P288,어깨,이지바 프론트 레이즈,바벨,아이솔레이션,전면 삼각근,,8~15,60~120,2.5kg,초보,높음
P289,어깨,벤트 오버 레터럴 레이즈 머신,머신,아이솔레이션,후면 삼각근,,8~15,60~120,5kg,초보,높음
P290,어깨,원 암 덤벨 숄더프레스,덤벨,컴파운드,삼각근(전체),,5~8 (근력) / 6~12 (비대),120~180,1~2.5kg,중급,높음
P291,어깨,덤벨 비하인드 넥 프레스,덤벨,컴파운드,삼각근(전체),삼두근/상부 대흉근,5~8 (근력) / 6~12 (비대),120~180,1~2.5kg,중급,높음
P292,어깨,벤트오버 케이블 레터럴 레이즈,케이블,아이솔레이션,후면 삼각근,,8~15,60~120,2.5kg,초보,높음
P293,어깨,원 암 케이블 프론트 레이즈,케이블,아이솔레이션,전면 삼각근,,8~15,60~120,2.5kg,초보,높음
P294,어깨,인클라인 덤벨 리어 레터럴 레이즈,덤벨,아이솔레이션,후면 삼각근,,8~15,60~120,1~2.5kg,초보,높음
P295,어깨,원 암 덤벨 레터럴 레이즈,덤벨,아이솔레이션,측면 삼각근,,8~15,60~120,1~2.5kg,초보,높음
P296,어깨,랜드마인 프레스,바벨,컴파운드,삼각근(전체),삼두근/상부 대흉근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,고급,높음
P297,어깨,원 암 페이스풀,케이블,아이솔레이션,후면 삼각근,,8~15,60~120,2.5kg,초보,높음
P298,어깨,바이킹 프레스,바벨,컴파운드,삼각근(전체),삼두근/상부 대흉근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,고급,높음
P299,어깨,케이블 업라이트 로우,케이블,컴파운드,측면 삼각근/승모근,,5~8 (근력) / 6~12 (비대),120~180,2.5kg,초보,높음
P300,어깨,스탠딩 덤벨 숄더 프레스,덤벨,컴파운드,삼각근(전체),삼두근/상부 대흉근,5~8 (근력) / 6~12 (비대),120~180,1~2.5kg,중급,높음
P301,어깨,플레이트 오버헤드 프레스,플레이트,컴파운드,삼각근(전체),삼두근/상부 대흉근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,초보,높음
P302,어깨,원 암 숄더 프레스 머신,머신,컴파운드,삼각근(전체),삼두근/상부 대흉근,5~8 (근력) / 6~12 (비대),120~180,5kg,초보,높음
P303,어깨,원 암 펙 덱 리어 델트,덤벨,아이솔레이션,후면 삼각근,,8~15,60~120,1~2.5kg,초보,높음
P304,어깨,이지바 업라이트 로우,바벨,컴파운드,측면 삼각근/승모근,,5~8 (근력) / 6~12 (비대),120~180,2.5kg,중급,높음
P305,어깨,스미스 머신 업라이트 로우,스미스 머신,컴파운드,측면 삼각근/승모근,,5~8 (근력) / 6~12 (비대),120~180,2.5kg,초보,높음
P306,어깨,스미스 머신 벤트 오버 로우,스미스 머신,컴파운드,후면 삼각근,,5~8 (근력) / 6~12 (비대),120~180,2.5kg,초보,높음
P307,삼두,바벨 트라이셉스 익스텐션,바벨,아이솔레이션,삼두근,,8~15,60~120,2.5kg,초보,높음
P308,삼두,케이블 트라이셉스 푸쉬다운,케이블,아이솔레이션,삼두근,,8~15,60~120,2.5kg,초보,높음
P309,삼두,원 암 덤벨 킥백,덤벨,아이솔레이션,삼두근,,8~15,60~120,1~2.5kg,초보,높음
P310,삼두,덤벨 트라이셉스 익스텐션,덤벨,아이솔레이션,삼두근,,8~15,60~120,1~2.5kg,초보,높음
P311,삼두,원 암 덤벨 트라이셉스 익스텐션,덤벨,아이솔레이션,삼두근,,8~15,60~120,1~2.5kg,초보,높음
P312,삼두,벤치 딥스,맨몸,컴파운드,삼두근,대흉근/전면 삼각근,5~8 (근력) / 6~12 (비대),120~180,맨몸/체중조끼,중급,높음
P313,삼두,원 암 케이블 킥백,케이블,아이솔레이션,삼두근,,8~15,60~120,2.5kg,초보,높음
P314,삼두,오버헤드 케이블 트라이셉스 익스텐션(일어서기),케이블,아이솔레이션,삼두근,,8~15,60~120,2.5kg,초보,높음
P315,삼두,라잉 트라이셉스 익스텐션(스컬 크러셔),바벨,아이솔레이션,삼두근,,8~15,60~120,2.5kg,초보,높음
P316,삼두,딥스 머신,머신,컴파운드,삼두근,대흉근/전면 삼각근,5~8 (근력) / 6~12 (비대),120~180,5kg,초보,높음
P317,삼두,클로즈 그립 벤치 프레스,바벨,컴파운드,삼두근,대흉근/전면 삼각근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,중급,높음
P318,삼두,원 암 케이블 트라이셉스 익스텐션,케이블,아이솔레이션,삼두근,,8~15,60~120,2.5kg,초보,높음
P319,삼두,오버헤드 케이블 트라이셉스 익스텐션(구부리기),케이블,아이솔레이션,삼두근,,8~15,60~120,2.5kg,초보,높음
P320,삼두,트라이셉스 푸쉬다운 머신,머신,아이솔레이션,삼두근,,8~15,60~120,5kg,초보,높음
P321,삼두,라잉 덤벨 트라이셉스 익스텐션,덤벨,아이솔레이션,삼두근,,8~15,60~120,1~2.5kg,초보,높음
P322,삼두,플로어 트라이셉스 딥스,맨몸,컴파운드,삼두근,대흉근/전면 삼각근,5~8 (근력) / 6~12 (비대),120~180,맨몸/체중조끼,중급,높음
P323,삼두,원 암 케티블 트라이셉스 푸쉬다운,케틀벨,아이솔레이션,삼두근,,8~15,60~120,4kg,초보,높음
P324,삼두,케이블 로프 트라이셉스 익스텐션,케이블,아이솔레이션,삼두근,,8~15,60~120,2.5kg,초보,높음
P325,삼두,트라이셉스 익스텐션 머신,머신,아이솔레이션,삼두근,,8~15,60~120,5kg,초보,높음
P326,삼두,체어 딥스,맨몸,컴파운드,삼두근,대흉근/전면 삼각근,5~8 (근력) / 6~12 (비대),120~180,맨몸/체중조끼,중급,높음
P327,삼두,오버헤드 덤벨 트라이셉스 익스텐션,덤벨,아이솔레이션,삼두근,,8~15,60~120,1~2.5kg,초보,높음
P328,삼두,밴드 트라이셉스 푸쉬다운,밴드,아이솔레이션,삼두근,,8~15,60~120,저항 단계,초보,높음
P329,삼두,인클라인 바벨 트라이셉스 익스텐션,바벨,아이솔레이션,삼두근,,8~15,60~120,2.5kg,초보,높음
P330,삼두,인클라인 이지바 트라이셉스 익스텐션,바벨,아이솔레이션,삼두근,,8~15,60~120,2.5kg,초보,높음
P331,삼두,인클라인 덤벨 트라이셉스 익스텐션,덤벨,아이솔레이션,삼두근,,8~15,60~120,1~2.5kg,초보,높음
P332,삼두,덤벨 킥백,덤벨,아이솔레이션,삼두근,,8~15,60~120,1~2.5kg,초보,높음
P333,삼두,오버헤드 트라이셉스 익스텐션 머신,머신,아이솔레이션,삼두근,,8~15,60~120,5kg,초보,높음
P334,삼두,케이블 리버스 푸쉬다운,케이블,아이솔레이션,삼두근,,8~15,60~120,2.5kg,초보,높음
P335,삼두,디클라인 클로즈 그립 스미스 벤치 프레스,스미스 머신,컴파운드,삼두근,대흉근/전면 삼각근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,초보,높음
P336,이두,바벨 컬,바벨,아이솔레이션,이두근,,8~15,60~120,2.5kg,초보,높음
P337,이두,케이블 컬,케이블,아이솔레이션,이두근,,8~15,60~120,2.5kg,초보,높음
P338,이두,친 업,맨몸,컴파운드,이두근,,5~8 (근력) / 6~12 (비대),120~180,맨몸/체중조끼,중급,높음
P339,이두,덤벨 프리쳐 컬,덤벨,아이솔레이션,이두근,,8~15,60~120,1~2.5kg,초보,높음
P340,이두,덤벨 컬,덤벨,아이솔레이션,이두근,,8~15,60~120,1~2.5kg,초보,높음
P341,이두,이지바 컬,바벨,아이솔레이션,이두근,,8~15,60~120,2.5kg,초보,높음
P342,이두,덤벨 해머 컬,덤벨,아이솔레이션,이두근/상완근,,8~15,60~120,1~2.5kg,초보,높음
P343,이두,컨센트레이션 컬,덤벨,아이솔레이션,이두근,,8~15,60~120,1~2.5kg,초보,높음
P344,이두,프리쳐 컬 머신,머신,아이솔레이션,이두근,,8~15,60~120,5kg,초보,높음
P345,이두,케이블 해머 컬,케이블,아이솔레이션,이두근/상완근,,8~15,60~120,2.5kg,초보,높음
P346,이두,밴드 해머 컬,밴드,아이솔레이션,이두근/상완근,,8~15,60~120,저항 단계,초보,높음
P347,이두,바벨 프리쳐 컬,바벨,아이솔레이션,이두근,,8~15,60~120,2.5kg,초보,높음
P348,이두,덤벨 리버스 컬,덤벨,아이솔레이션,상완근/전완근,,8~15,60~120,1~2.5kg,초보,높음
P349,이두,바벨 리버스 컬,바벨,아이솔레이션,상완근/전완근,,8~15,60~120,2.5kg,초보,높음
P350,이두,오버헤드 케이블 컬,케이블,아이솔레이션,이두근,,8~15,60~120,2.5kg,초보,높음
P351,이두,이지바 프리쳐 컬,바벨,아이솔레이션,이두근,,8~15,60~120,2.5kg,초보,높음
P352,이두,인클라인 덤벨 컬,덤벨,아이솔레이션,이두근,,8~15,60~120,1~2.5kg,초보,높음
P353,이두,인클라인 덤벨 해머 컬,덤벨,아이솔레이션,이두근/상완근,,8~15,60~120,1~2.5kg,초보,높음
P354,이두,인클라인 덤벨 리버스 컬,덤벨,아이솔레이션,상완근/전완근,,8~15,60~120,1~2.5kg,초보,높음
P355,이두,케이블 리버스 컬,케이블,아이솔레이션,상완근/전완근,,8~15,60~120,2.5kg,초보,높음
P356,이두,이지바 리버스 컬,바벨,아이솔레이션,상완근/전완근,,8~15,60~120,2.5kg,초보,높음
P357,이두,케이블 프리쳐 컬,케이블,아이솔레이션,이두근,,8~15,60~120,2.5kg,초보,높음
P358,이두,인클라인 바벨 리버스 컬,바벨,아이솔레이션,상완근/전완근,,8~15,60~120,2.5kg,초보,높음
